#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2026,Crédito Definitivo 2026,Obligado
0213,1512,12000,,Retribuciones basicas de funcionarios,201304.0,201304.0,137474.77
0213,1512,12100,,Retribuciones complementarias funcionarios,261950.0,261950.0,234156.07
0213,1512,12105,,Retribuciones consecuc.objetivos,5021.0,5021.0,0.0
0213,1512,14100,,Otro personal,167333.0,167333.0,71337.22
0213,1512,14101,,Retribuciones al personal de sustituciones,2722.0,2722.0,0.0
0213,1512,16000,,Seguridad social a cargo del ayuntamiento,178351.0,178351.0,139738.61
0213,1512,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10423.0,10423.0,5908.62
0213,1512,22620,,Obras subsidiarias y apuntalamiento,150000.0,150000.0,0.0
0213,1512,22747,,Inspecc técnica edificios intervencion edif casco histórico,20000.0,20000.0,0.0
0213,1512,22747,A,Inspecc técnica edificios intervencion edif casco histórico,0.0,2586.37,0.0
0214,1502,62630,,Licencias software,1000.0,1000.0,0.0
0214,1502,62901,,Adquisicion equipos,5000.0,5000.0,0.0
0214,1502,64201,,Estudios y proyectos,48000.0,48000.0,0.0
0214,9210,60205,A,Eu-rehabilitación palacio maturana-verástegui,0.0,317582.1,200130.3
0214,9210,60205,R,Eu-rehabilitación palacio maturana-verástegui,0.0,3531.15,0.0
0214,9211,12000,,Retribuciones basicas de funcionarios,222145.0,222145.0,47748.86
0214,9211,12100,,Retribuciones complementarias funcionarios,270214.0,270214.0,76583.63
0214,9211,12105,,Retribuciones consecuc.objetivos,7319.0,7319.0,0.0
0214,9211,14100,,Otro personal,142.0,142.0,0.0
0214,9211,16000,,Seguridad social a cargo del ayuntamiento,141982.0,141982.0,40557.13
0214,9211,16500,,Cuotas elkarkidetza a cargo ayuntamiento,9211.0,9211.0,2208.42
0214,9211,60507,,Aramangelu - abetxuko,30000.0,30000.0,0.0
0214,9211,62215,,Inversiones en patrimonio municipal,700000.0,700000.0,0.0
0214,9211,62215,A,Inversiones en patrimonio municipal,0.0,46231.98,0.0
0214,9211,62215,R,Inversiones en patrimonio municipal,0.0,285757.82,0.0
0214,9211,62226,,Rehabilitación viviendas municipales,50000.0,50000.0,0.0
0214,9211,62296,,Inversiones en instalaicones deportivas,200000.0,200000.0,0.0
0214,9211,62296,R,Inversiones en instalaicones deportivas,0.0,172782.24,0.0
0214,9211,62297,,Rehabilitacion edificios mples. directiva 2012/2017 ue,1830201.47,1830201.47,469336.98
0214,9211,62297,A,Rehabilitacion edificios mples. directiva 2012/2017 ue,0.0,20944.24,0.0
0214,9211,62297,R,Rehabilitacion edificios mples. directiva 2012/2017 ue,0.0,1796844.61,0.0
0214,9211,62298,,Inversines deportivas campos de futbol,1310000.0,1310000.0,0.0
0214,9211,62298,R,Inversines deportivas campos de futbol,0.0,522456.89,0.0
0214,9211,62299,,Ciudad del rugby gamarra,550000.0,550000.0,0.0
0214,9211,64326,A,Plan de reactivacion del centro urbano,0.0,43313.85,0.0
0214,9211,64516,A, gasteiz antzokia,0.0,14701.5,0.0
0214,9212,62290,,Reforma teatro principal,7252111.41,7252111.41,448402.38
0214,9212,62290,A,Reforma teatro principal,0.0,228072.02,11796.83
0214,9212,62290,R,Reforma teatro principal,0.0,83117.12,25178.83
0214,9216,60713,,Rehabilitación integral passivhaus c.c.aldabe,682585.74,682585.74,0.0
0214,9219,62315,R,Eu alrm div func. aud pstd fii,0.0,212496.22,52381.65
0216,1502,12000,,Retribuciones basicas de funcionarios,208141.0,208141.0,35690.96
0216,1502,12100,,Retribuciones complementarias funcionarios,301534.0,301534.0,77616.65
0216,1502,12105,,Retribuciones consecuc.objetivos,5629.0,5629.0,0.0
0216,1502,14100,,Otro personal,156079.0,156079.0,54990.32
0216,1502,14101,,Retribuciones al personal de sustituciones,1196.0,1196.0,0.0
0216,1502,16000,,Seguridad social a cargo del ayuntamiento,192264.0,192264.0,53691.62
0216,1502,16500,,Cuotas elkarkidetza a cargo ayuntamiento,11033.0,11033.0,2075.79
022201,1691,12000,,Retribuciones basicas de funcionarios,174449.0,174449.0,34347.4
022201,1691,12100,,Retribuciones complementarias funcionarios,232409.0,232409.0,70593.96
022201,1691,12105,,Retribuciones consecuc.objetivos,4349.0,4349.0,0.0
022201,1691,14100,,Otro personal,110386.0,110386.0,31097.78
022201,1691,14101,,Retribuciones al personal de sustituciones,1362.0,1362.0,0.0
022201,1691,16000,,Seguridad social a cargo del ayuntamiento,162849.0,162849.0,46728.41
022201,1691,16500,,Cuotas elkarkidetza a cargo ayuntamiento,12291.0,12291.0,2515.86
022201,1721,60305,,Instalaciones del vertedero gardelegui,150000.0,150000.0,5816.78
022201,1721,60305,A,Instalaciones del vertedero gardelegui,0.0,77199.37,0.0
022201,1721,60305,R,Instalaciones del vertedero gardelegui,0.0,90506.29,0.0
022201,1722,62916,,Calidad ambiental del vertedero,75000.0,75000.0,0.0
022201,1722,62916,R,Calidad ambiental del vertedero,0.0,27364.39,0.0
022202,1502,22637,,Haciendo misión,5000.0,5000.0,0.0
022202,1722,22600,R,Urbanew1,0.0,56190.26,0.0
022202,1722,22626,,Urbanew 2,0.0,69822.0,0.0
022202,1722,22626,R,Urbanew 2,0.0,114077.36,0.0
022203,1621,22700,,"Contrato serv limpieza, recogida y transporte rsu",12587251.0,12587251.0,1931577.42
022203,1621,22700,R,"Contrato serv limpieza, recogida y transporte rsu",0.0,19090.77,0.0
022203,1621,22703,,Contrato recogida neumatica en casco medieval,1493685.72,1493685.72,231047.04
022203,1621,22704,,Suministro eléctrico recogida neumática,400000.0,400000.0,0.0
022203,1621,22715,,Recogidas selectivas de residuos,600000.0,600000.0,97345.44
022203,1621,22715,R,Recogidas selectivas de residuos,0.0,17722.91,0.0
022203,1621,22724,,Contrato de explotación de garbigunes,600000.0,600000.0,0.0
022203,1622,21204,,Mantenimiento de las instalaciones del vertedero,288530.51,288530.51,33419.5
022203,1622,22699,,Otros gastos diversos,50000.0,50000.0,417.33
022203,1622,22707,,Actuaciones conservacion biodiversidad,58500.0,58500.0,1112.37
022203,1622,22723,,Contrato explotacion del vertedero,1800000.0,1800000.0,447435.31
022203,1623,22111,,Menaje,5000.0,5000.0,0.0
022203,1623,22702,,Contrato explotación planta rsu jundiz,10643836.21,10643836.21,1616070.92
022203,1623,22710,,Contrato recogida voluminosos,1540901.31,1540901.31,260383.86
022203,1623,47133,,Convenio fundación vital plasticos 0,50000.0,50000.0,0.0
022203,1623,60907,,"Control de calidad agua, aire y suelo",72000.0,72000.0,0.0
022203,1631,22700,,Contrato servicio de limpieza viaria,18260803.87,18260803.87,2913355.62
022203,1631,22701,,Plan antigrafitis,97100.0,97100.0,36390.3
022203,1631,22701,R,Plan antigrafitis,0.0,6089.35,0.0
022203,1722,12000,,Retribuciones basicas de funcionarios,220781.0,220781.0,41828.99
022203,1722,12100,,Retribuciones complementarias funcionarios,300492.0,300492.0,80433.96
022203,1722,12105,,Retribuciones consecuc.objetivos,5696.0,5696.0,0.0
022203,1722,14100,,Otro personal,189481.0,189481.0,37734.98
022203,1722,14101,,Retribuciones al personal de sustituciones,2736.0,2736.0,0.0
