#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2026ko Hasierako kreditua,2026ko Behin-betiko kreditua,Obligado ,i,j,k
0214,9212,62290,R,Reforma teatro principal,0.0,83117.12,25178.83,,,
0214,9216,60713,,Rehabilitación integral passivhaus c.c.aldabe,682585.74,682585.74,0.0,,,
0214,9219,62315,R,Eu alrm div func. aud pstd fii,0.0,212496.22,52381.65,,,
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,208141.0,208141.0,35690.96,,,
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,301534.0,301534.0,77616.65,,,
0216,1502,12105,,Helburuak lortu izanagatiko ordainsariak,5629.0,5629.0,0.0,,,
0216,1502,14100,,Bestelako langileak,156079.0,156079.0,54990.32,,,
0216,1502,14101,,Ordezko langileen ordainsariak,1196.0,1196.0,0.0,,,
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",192264.0,192264.0,53691.62,,,
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",11033.0,11033.0,2075.79,,,
022201,1691,12000,,Funtzionarioen oinarrizko ordainsariak,174449.0,174449.0,34347.4,,,
022201,1691,12100,,Funtzionarioen ordainsari osagarriak,232409.0,232409.0,70593.96,,,
022201,1691,12105,,Bestelako langileak,4349.0,4349.0,0.0,,,
022201,1691,14100,,Otro personal,110386.0,110386.0,31097.78,,,
022201,1691,14101,,Ordezko langileen ordainsariak,1362.0,1362.0,0.0,,,
022201,1691,16000,,"Gizarte Segurantza, enpresaren kontura",162849.0,162849.0,46728.41,,,
022201,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",12291.0,12291.0,2515.86,,,
022201,1721,60305,,Gardelegiko zabortegiko instalazioak,150000.0,150000.0,5816.78,,,
022201,1721,60305,A,Gardelegiko zabortegiko instalazioak,0.0,77199.37,0.0,,,
022201,1721,60305,R,Zabortegiaren ingurumen kalitatea,0.0,90506.29,0.0,,,
022201,1722,62916,,Calidad ambiental del vertedero,75000.0,75000.0,0.0,,,
